N,price,pages,size1,size2,size3,weight,year,volume,volume_price,weight_price,page_price,CoverType
1,540.0,298.0,1.7,14.6,21.6,460,2024.0,536.1120000000001,1.007252215954875,1.173913043478261,1.8120805369127517,1
2,539.0,264.0,1.4,14.0,21.0,330,2023.0,411.59999999999997,1.3095238095238095,1.6333333333333333,2.0416666666666665,0
3,238.0,192.0,1.5,11.6,18.1,129,2024.0,314.94,0.7556994983171398,1.8449612403100775,1.2395833333333333,0
4,715.0,448.0,2.7,13.0,20.7,430,2024.0,726.57,0.9840758633029164,1.6627906976744187,1.5959821428571428,1
5,605.0,160.0,1.8,13.3,17.3,176,2024.0,414.16200000000003,1.460781047029906,3.4375,3.78125,1
6,104.0,320.0,2.2,14.5,20.8,379,2019.0,663.5200000000001,0.1567398119122257,0.27440633245382584,0.325,1
7,254.0,384.0,1.7,11.5,18.0,200,2024.0,351.90000000000003,0.7217959647627166,1.27,0.6614583333333334,0
8,781.0,534.0,3.0,14.3,21.5,740,2023.0,922.3500000000001,0.8467501490757303,1.0554054054054054,1.4625468164794007,1
9,715.0,320.0,1.8,13.5,20.5,330,2024.0,498.15000000000003,1.4353106494027903,2.1666666666666665,2.234375,1
10,696.0,320.0,2.2,13.0,20.5,330,2024.0,586.3000000000001,1.1871055773494796,2.109090909090909,2.175,1
11,741.0,448.0,2.8,13.3,20.7,430,2024.0,770.868,0.9612540668441288,1.7232558139534884,1.6540178571428572,1
12,878.0,352.0,2.7,14.0,21.0,320,2024.0,793.8000000000001,1.1060720584530108,2.74375,2.4943181818181817,0
13,308.0,160.0,1.1,11.5,18.0,110,2024.0,227.70000000000002,1.3526570048309177,2.8,1.925,0
14,554.0,272.0,2.0,13.3,17.0,310,2024.0,452.20000000000005,1.2251216275984076,1.7870967741935484,2.036764705882353,1
15,594.0,278.0,1.8,14.0,21.0,430,2023.0,529.1999999999999,1.1224489795918369,1.3813953488372093,2.1366906474820144,0
16,787.0,224.0,1.5,13.0,20.5,250,2024.0,399.75,1.9687304565353345,3.148,3.513392857142857,1
17,787.0,282.0,1.8,13.3,20.7,300,2024.0,495.558,1.5881087582079192,2.6233333333333335,2.7907801418439715,1
18,715.0,320.0,2.0,12.8,20.5,320,2024.0,524.8000000000001,1.3624237804878048,2.234375,2.234375,1
19,690.0,160.0,1.3,13.0,18.5,130,2024.0,312.65000000000003,2.2069406684791297,5.3076923076923075,4.3125,0
20,840.0,538.0,3.1,14.0,21.0,540,2024.0,911.4,0.9216589861751152,1.5555555555555556,1.5613382899628252,0
21,627.0,288.0,2.4,12.8,20.5,310,2024.0,629.76,0.9956173780487805,2.02258064516129,2.1770833333333335,1
22,715.0,352.0,2.0,12.5,20.0,10,2024.0,500.0,1.43,71.5,2.03125,1
23,1248.0,432.0,2.4,14.7,21.6,500,2023.0,762.0479999999999,1.6376921138825904,2.496,2.888888888888889,1
24,116.0,384.0,2.1,13.0,20.5,360,2020.0,559.65,0.20727240239435363,0.32222222222222224,0.3020833333333333,1
25,715.0,288.0,1.8,13.0,20.5,320,2024.0,479.70000000000005,1.4905149051490514,2.234375,2.482638888888889,1
26,1010.0,672.0,3.0,14.4,21.5,760,2024.0,928.8000000000001,1.0874246339362617,1.3289473684210527,1.5029761904761905,1
27,904.0,480.0,2.3,13.0,20.5,470,2024.0,612.9499999999999,1.4748348152377846,1.9234042553191488,1.8833333333333333,1
28,344.0,480.0,1.8,11.5,18.0,250,2024.0,372.59999999999997,0.9232420826623726,1.376,0.7166666666666667,0
29,849.0,208.0,1.7,13.0,18.5,160,2023.0,408.84999999999997,2.076556194203253,5.30625,4.081730769230769,0
30,847.0,347.0,2.1,13.0,20.5,380,2024.0,559.65,1.5134459036898062,2.2289473684210526,2.440922190201729,1
31,540.0,376.0,2.5,14.2,21.0,578,2024.0,745.5,0.7243460764587525,0.9342560553633218,1.4361702127659575,0
32,605.0,352.0,3.0,13.0,20.5,350,2024.0,799.5,0.756722951844903,1.7285714285714286,1.71875,1
33,4141.0,304.0,2.5,24.1,33.4,1929,2021.0,2012.35,2.05779312743807,2.1467081389320892,13.62171052631579,1
34,790.0,664.0,3.8,14.5,21.7,886,2024.0,1195.6699999999998,0.6607174220311626,0.891647855530474,1.1897590361445782,1
35,806.0,318.0,3.0,14.3,21.8,410,2024.0,935.2200000000001,0.8618293021962745,1.9658536585365853,2.5345911949685536,1
36,696.0,384.0,2.2,13.0,20.7,379,2024.0,592.02,1.1756359582446538,1.8364116094986807,1.8125,1
37,559.0,320.0,2.3,13.0,20.5,260,2024.0,612.9499999999999,0.9119830328738071,2.15,1.746875,1
38,308.0,384.0,2.5,13.0,20.5,300,2024.0,666.25,0.4622889305816135,1.0266666666666666,0.8020833333333334,1
39,593.0,256.0,1.5,14.5,21.8,348,2024.0,474.15000000000003,1.2506590741326584,1.7040229885057472,2.31640625,1
40,540.0,446.0,2.5,13.8,21.0,530,2023.0,724.5,0.7453416149068323,1.0188679245283019,1.210762331838565,0
41,904.0,448.0,2.9,14.3,21.8,530,2024.0,904.046,0.9999491176333947,1.7056603773584906,2.017857142857143,1
42,1086.0,384.0,3.7,14.5,21.8,520,2024.0,1169.5700000000002,0.928546388843763,2.0884615384615386,2.828125,1
43,696.0,288.0,2.5,13.0,20.5,300,2024.0,666.25,1.0446529080675422,2.32,2.4166666666666665,1
44,807.0,480.0,3.7,13.2,20.5,460,2024.0,1001.2199999999999,0.8060166596751963,1.7543478260869565,1.68125,1
45,278.0,416.0,2.7,11.5,18.0,250,2022.0,558.9,0.49740561817856505,1.112,0.6682692307692307,0
46,441.0,384.0,3.0,11.5,18.0,236,2024.0,621.0,0.7101449275362319,1.86864406779661,1.1484375,0
47,707.0,384.0,3.3,13.2,20.7,379,2024.0,901.6919999999999,0.7840814823687025,1.8654353562005277,1.8411458333333333,1
48,878.0,512.0,2.8,13.5,20.5,460,2024.0,774.9,1.1330494257323527,1.9086956521739131,1.71484375,1
49,650.0,192.0,1.5,13.0,20.6,244,2024.0,401.70000000000005,1.6181229773462782,2.6639344262295084,3.3854166666666665,1
50,624.0,288.0,2.1,13.0,20.5,310,2023.0,559.65,1.1149825783972125,2.0129032258064514,2.1666666666666665,1
51,103.0,352.0,2.0,13.0,20.5,340,2020.0,533.0,0.19324577861163228,0.3029411764705882,0.29261363636363635,0
52,715.0,400.0,2.5,13.2,20.6,300,2024.0,679.8000000000001,1.0517799352750807,2.3833333333333333,1.7875,1
53,506.0,192.0,1.5,13.0,18.5,159,2023.0,360.75,1.4026334026334026,3.1823899371069184,2.6354166666666665,0
54,1010.0,608.0,3.3,14.7,21.8,780,2024.0,1057.518,0.9550664858659615,1.294871794871795,1.6611842105263157,1
55,787.0,352.0,2.9,13.2,20.7,360,2023.0,792.3959999999998,0.9931902735500938,2.186111111111111,2.2357954545454546,1
56,670.0,256.0,1.5,13.0,20.5,290,2024.0,399.75,1.6760475297060662,2.310344827586207,2.6171875,1
57,465.0,272.0,1.8,13.0,18.6,230,2023.0,435.24000000000007,1.0683760683760681,2.0217391304347827,1.7095588235294117,0
58,696.0,352.0,2.2,13.1,20.7,380,2024.0,596.574,1.1666616379527102,1.831578947368421,1.9772727272727273,1
59,1138.0,432.0,2.5,17.2,24.4,680,2024.0,1049.2,1.0846359130766299,1.673529411764706,2.634259259259259,1
60,787.0,384.0,2.5,13.1,20.6,370,2023.0,674.6500000000001,1.1665307937449045,2.127027027027027,2.0494791666666665,1
61,696.0,416.0,2.8,13.0,20.5,425,2022.0,746.1999999999999,0.9327258107745914,1.6376470588235295,1.6730769230769231,1
62,757.0,224.0,1.5,13.4,20.7,390,2024.0,416.07,1.8194053885163555,1.941025641025641,3.3794642857142856,1
63,1307.0,352.0,3.2,17.0,24.0,540,2024.0,1305.6000000000001,1.0010723039215685,2.4203703703703705,3.7130681818181817,1
64,910.0,448.0,2.9,14.0,21.0,460,2024.0,852.6,1.0673234811165846,1.9782608695652173,2.03125,0
65,397.0,256.0,1.9,11.5,18.0,175,2024.0,393.29999999999995,1.0094075769132977,2.2685714285714287,1.55078125,0
66,762.0,384.0,3.0,13.0,20.5,360,2024.0,799.5,0.9530956848030019,2.1166666666666667,1.984375,1
67,1189.0,384.0,2.0,14.3,21.5,470,2023.0,614.9,1.9336477476012361,2.529787234042553,3.0963541666666665,1
68,440.0,332.0,1.8,13.0,20.0,349,2022.0,468.00000000000006,0.94017094017094,1.2607449856733524,1.3253012048192772,0
69,278.0,288.0,2.4,11.7,18.0,200,2024.0,505.43999999999994,0.5500158277936056,1.39,0.9652777777777778,0
70,832.0,544.0,3.3,14.3,21.8,620,2024.0,1028.742,0.808754770389466,1.3419354838709678,1.5294117647058822,1
71,1801.0,928.0,5.5,14.2,21.5,990,2024.0,1679.1499999999999,1.0725664770866212,1.8191919191919192,1.9407327586206897,1
72,860.0,464.0,2.7,15.0,21.5,700,2023.0,870.75,0.9876543209876543,1.2285714285714286,1.853448275862069,1
73,696.0,352.0,2.1,13.0,20.5,360,2024.0,559.65,1.2436344143661218,1.9333333333333333,1.9772727272727273,1
74,696.0,352.0,2.4,13.0,20.5,360,2024.0,639.6,1.0881801125703565,1.9333333333333333,1.9772727272727273,1
75,488.0,480.0,2.4,11.1,16.5,270,2024.0,439.55999999999995,1.1102011102011102,1.8074074074074074,1.0166666666666666,0
76,807.0,576.0,3.3,12.9,20.6,540,2024.0,876.9420000000001,0.9202433000129996,1.4944444444444445,1.4010416666666667,1
77,806.0,320.0,2.0,13.0,20.5,360,2024.0,533.0,1.5121951219512195,2.238888888888889,2.51875,1
78,1034.0,352.0,2.8,12.8,20.5,360,2023.0,734.7199999999999,1.4073388501742161,2.8722222222222222,2.9375,1
79,624.0,352.0,2.3,13.0,20.7,370,2023.0,618.93,1.0081915563957153,1.6864864864864866,1.7727272727272727,1
80,806.0,448.0,2.8,14.4,22.0,509,2023.0,887.04,0.9086399711399712,1.5834970530451866,1.7991071428571428,1
81,397.0,320.0,2.5,11.5,18.0,200,2024.0,517.5,0.7671497584541063,1.985,1.240625,0
82,289.0,192.0,1.5,12.5,19.0,150,2024.0,356.25,0.8112280701754386,1.9266666666666667,1.5052083333333333,0
83,715.0,416.0,2.2,13.5,20.9,409,2024.0,620.73,1.1518695729222044,1.7481662591687042,1.71875,1
84,696.0,313.0,2.3,13.5,20.7,360,2024.0,642.7349999999999,1.0828724124250275,1.9333333333333333,2.2236421725239617,1
