N,name,price,url,pages,size1,size2,size3,weight,cover,year,"description"
1,Чисто российское преступление: Самые громкие и загадочные уголовные дела XVIII – XX веков,540.0,https://www.chitai-gorod.ru/product/chisto-rossiyskoe-prestuplenie-samye-gromkie-i-zagadochnye-ugolovnye-dela-xviii-xx-vekov-3045736,298.0,1.7,14.6,21.6,460,Твёрдый переплёт,2024.0,"В новой книге известной правозащитницы и журналистки Евы Меркачёвой, автора бестселлеров «Громкие дела», «Град обреченных» и «Кому на Руси сидеть хорошо», рассказывается об интереснейших уголовных делах — от прогремевших на всю Россию до засекреченных (до недавних пор). В нее вошли судебные разбирательства царских времен, включая суды над колдунами и отравителями. Впервые публикуются уникальные судебные материалы, связанные со Львом Толстым — мировым судьей, присяжным заседателем и... обвиняемым в убийстве. Вы узнаете о процессах над палачом лейтенанта Шмидта и о громком деле изобретателя терменвокса Термена, прочитаете о правосудии в блокадном и послеблокадном Ленинграде, а также о громких послевоенных судебных разбирательствах.
Автор кропотливо собрала материалы об убийствах советских граждан в мирные годы, которые будоражили всю страну, — такие, как дело Раскина, теракт на Котляковском кладбище и загадочная гибель экспедиции на перевале Дятлова. В книгу вошли резонансные дела Иосифа Бродского о тунеядстве и многодетной семьи Овечкиных об угоне самолета в 1980-х.
Книга написана в жанре судебных очерков и содержит уникальные архивные материалы, в том числе иллюстративные, многие из которых раньше не публиковались."
2,Безлюдное место: Как ловят маньяков в России,539.0,https://www.chitai-gorod.ru/product/bezlyudnoe-mesto-kak-lovyat-manyakov-v-rossii-2966317,264.0,1.4,14.0,21.0,330,Мягкий переплёт,2023.0,"С середины 1990-х в небольшом сибирском городе Ангарске почти каждый месяц находили тела убитых и изнасилованных женщин. Поиски человека, который совершал эти преступления, заняли больше 15 лет — в первую очередь потому, что мало кто хотел его искать.
Книга журналистки Саши Сулим — это история самого кровавого убийцы в России и рассказ о людях, которые профессионально искали, находили и сажали в тюрьму серийных преступников вопреки инерции и противодействию правоохранительной системы. Это ответ не только на вопрос, как ловят маньяков в России, но и на вопрос, почему их часто не ловят вовсе."
3,Письма о добром и прекрасном,238.0,https://www.chitai-gorod.ru/product/pisma-o-dobrom-i-prekrasnom-2654381,192.0,1.5,11.6,18.1,129,Мягкий переплёт,2024.0,"«Письма о добром и прекрасном» – книга, которую академик Лихачёв посвятил российскому юношеству. В этом произведении ученый, которого неоднократно называли «совестью нации», обращается к проблемам нравственного воспитания молодежи.
«Честь», «искренность», «правдолюбие», «бескорыстие», «интеллигентность», «достоинство» – как редко, увы, сегодня вспоминает о них подрастающее поколение, с малолетства нацеленное на успех и материальные блага. Быть может, книга Лихачёва научит их, что прежде всего человеку следует быть человеком – уметь любить, верить, бороться за свои убеждения и видеть и ценить красоту?.."
4,У холмов есть подкаст. 24 истории о серийных убийцах со всего света,715.0,https://www.chitai-gorod.ru/product/u-holmov-est-podkast-24-istorii-o-seriynyh-ubiycah-so-vsego-sveta-3031328,448.0,2.7,13.0,20.7,430,Твёрдый переплёт,2024.0,"Первая книга Тимы и Вали Назаровых, авторов самого популярного российского комедийного тру-крайм подкаста ""У холмов есть подкаст"", которые раз в две недели встречаются, чтобы детально углубиться в новый пугающий кейс, попутно разбавляя рассказ черным юмором и по возможности актуальными новостями.
24 истории о серийных убийцах со всего света: от знаменитого американского красавца Теда Банди до белорусского душителя Михасевича. В книге: маньяки пяти континентов (обе Америки, Африка, Европа и Азия); мужчины и женщины; все мыслимые и немыслимые способы убийств. А также неповторимый авторский стиль, психологический разбор мотивов преступников, ""фанфакты"" - самые необычные факты об антигероях книги и их почитателях, рекомендации по фильмам и книгам по темам."
5,Фундаментальные законы человеческой глупости,605.0,https://www.chitai-gorod.ru/product/fundamentalnye-zakony-chelovecheskoy-gluposti-2964034,160.0,1.8,13.3,17.3,176,Твёрдый переплёт,2024.0,"Впервые остроумно и изящно сформулированы законы человеческой глупости — феномена мощного и извечного, как явления природы. Есть ли глупцы среди нобелевских лауреатов, чем отличается глупец от бандита, каков ущерб, который глупец наносит общему делу, много ли глупцов в популяции, как распознать и нейтрализовать их “темную силу” — ответы на эти насущные вопросы в великолепной работе историка экономики Карло Чиполлы.Одновременно “эта книжица ни в коем случае не является ни порождением цинизма, ни упражнением в пораженчестве”, ибо она полна юмора (или сарказма), вполне научна и пользуется успехом у читателей по всему миру.Также под одной обложкой впервые на русском языке публикуется эссе “Перец, вино (и шерсть)” — яркий и очень компактный анализ того, как вещи, воспринимаемые нами как давно привычные и обыкновенные, в истории средневековой Европы сыграли роль поистине революционную."
6,"Я буду толкать тебя. История о путешествии в 800 км, о двух лучших друзьях и одной инвалидной коляске",104.0,https://www.chitai-gorod.ru/product/ya-budu-tolkat-tebya-istoriya-o-puteshestvii-v-800-km-o-dvuh-luchshih-druzyah-i-odnoy-invalidnoy-kolyaske-2768297,320.0,2.2,14.5,20.8,379,Твёрдый переплёт,2019.0,"Патрик Грей и Джастин Скисак — лучшие друзья, знакомые с детства. Они родились с разницей в пару дней, росли в нескольких километрах друг от друга; вместе учились, занимались спортом, влюблялись и взрослели. Сегодня их дружбе уже почти 40 лет, и от сотен других аналогичных историй их отличает одно обстоятельство: они вместе преодолели паломнический путь в Испании длиной в 800 километров, причем один из них — в инвалидной коляске. «Я буду толкать тебя» — история о нереальной выдержке, силе духа и искренней любви, основанная на одноименном фильме о приключениях двух друзей на Камино-де-Сантьяго. Авторы живо, эмоционально и непосредственно рассказывают о самом Пути и о событиях, которые привели их в нужное время в нужное место. Иистория Джастина и Патрика вдохновляет на свершения и перемены в жизни, мотивирует на преодоление трудностей, подчеркивая как важны взаимопомощь и поддержка."
7,Таежный тупик. История семьи староверов Лыковых,254.0,https://www.chitai-gorod.ru/product/taezhnyy-tupik-istoriya-semi-staroverov-lykovyh-3058031,384.0,1.7,11.5,18.0,200,Мягкий переплёт,2024.0,"Василий Михайлович Песков (1930–2013) — журналист, фотограф, путешественник и ведущий одной из самых любимых программ советского телевидения — «В мире животных». Его очерки о природе родной страны снискали ему любовь миллионов читателей. Путевым заметкам и репортажам В. М. Пескова свойственна трогательная поэтизация окружающего пространства, будь то деревенский или таежный быт, жизнь лесных обитателей или ледяные просторы Арктики. Когда в 1978 году геологи случайно обнаружили на реке Абакан заимку отшельников Лыковых, Василий Михайлович Песков был первым репортером, осветившим эту историю, и с тех пор не оставлял таежных «робинзонов» своим вниманием, сделавшись летописцем семьи. Его очерки вызвали огромный резонанс в советской прессе и принесли автору мировую известность. Удивительная история старообрядцев Лыковых и их младшей дочери Агафьи стала своеобразным документом эпохи, который вскрыл огромный пласт народной истории страны."
8,Конец режима: Как закончились три европейские диктатуры,781.0,https://www.chitai-gorod.ru/product/konec-rezhima-kak-zakonchilis-tri-evropeyskie-diktatury-2966343,534.0,3.0,14.3,21.5,740,Твёрдый переплёт,2023.0,"Во второй половине ХХ века закончились три последние диктатуры Западной Европы — режимы Франко в Испании, Салазара в Португалии и «черных полковников» в Греции. Их граждане в конечном счете предпочли демократический строй авторитарному. В своей книге политический исследователь и журналист Александр Баунов рассказывает о том, как пытались продлить свое существование и завершились диктатуры этих трех стран, об отличиях и сходствах этого перехода в результате мирной трансформации в Испании, революционных событий в Португалии и военной авантюры в Греции и о людях, благодаря или вопреки которым этот переход состоялся."
9,"Клоун-убийца. Маньяк Джон Гейси, вдохновивший Стивена Кинга на роман «Оно»",715.0,https://www.chitai-gorod.ru/product/kloun-ubiyca-manyak-dzhon-geysi-vdohnovivshiy-stivena-kinga-na-roman-ono-3041353,320.0,1.8,13.5,20.5,330,Твёрдый переплёт,2024.0,"Он успешно вел строительный бизнес. Занимался политикой и пожимал руку первой леди США. В обличии клоуна Пого развлекал больных детей. Был мужем и заботливым отчимом. Но никто не догадывался, что по ночам Джон Уэйн Гейси обманом или хитростью заманивал к себе молодых парней из неблагополучных районов. И жестоко убивал. В подвале его дома нашли останки почти тридцати разложившихся тел. Остальные тела он сбросил в реку. Лишь убийство 15-летнего Роберта Писта, хорошего мальчика из благополучной семьи, положило начало полицейской слежке за Гейси, а затем признанию в серийных убийствах и одному из самых известных судебных процессов в истории США. Шокирующая и откровенная, эта книга, основанная на воспоминаниях полицейских, адвокатов и прокуроров по делу Джона Гейси, рассказывает полную историю печально известного Клоуна-убийцы."
10,"Фетишист. История Джерри Брудоса, «обувного маньяка»",696.0,https://www.chitai-gorod.ru/product/fetishist-istoriya-dzherri-brudosa-obuvnogo-manyaka-3048499,320.0,2.2,13.0,20.5,330,Твёрдый переплёт,2024.0,"Для своих соседей Джерри Брудос был мягким и тихим человеком, несмотря на внушительный вид. Для работодателей — опытным и трудолюбивым электриком, мастером на все руки. Для своей жены — хорошим мужем и любящим отцом, несмотря на странный запрет заходить в его мастерскую в гараже и любовь к переодеваниям в женское белье. А для полиции Орегона Джерри Брудос был монстром, убивавшим девушек, фетишистом-коллекционером туфель и белья своих жертв… вместе с их частями тела в огромном морозильнике. Его фетиш стоил жизни молодым женщинам, которых он обманом завлекал в свою мастерскую, пока жены не было дома. Классик литературы тру-крайм Энн Рул рассказывает историю становления знаменитого американского маньяка — от невинного любопытства до извращенных фантазий, от краж со взломом до жестоких серийных убийств."
